GK Diving,0.24,GK
GK Handling,0.22,GK
GK Positioning,0.22,GK
GK Reflex,0.22,GK
Reactions,0.06,GK
GK Kicking,0.04,GK
Interceptions,0.20,SW
Standing Tackle,0.14,SW
Marking,0.12,SW
Sliding Tackle,0.12,SW
Heading,0.08,SW
Ball Control,0.07,SW
Short Pass,0.06,SW
Reactions,0.06,SW
Vision,0.06,SW
Long Pass,0.05,SW
Aggression,0.04,SW
Marking,0.15,CB
Standing Tackle,0.15,CB
Sliding Tackle,0.15,CB
Heading,0.10,CB
Strength,0.10,CB
Aggression,0.08,CB
Interceptions,0.08,CB
Short Pass,0.05,CB
Ball Control,0.05,CB
Reactions,0.05,CB
Jumping,0.04,CB
Sliding Tackle,0.13,FB
Standing Tackle,0.12,FB
Interceptions,0.12,FB
Marking,0.10,FB
Stamina,0.08,FB
Reactions,0.08,FB
Crossing,0.07,FB
Heading,0.07,FB
Ball Control,0.07,FB
Short Pass,0.06,FB
Sprint Speed,0.05,FB
Aggression,0.05,FB
Standing Tackle,0.11,WB
Sliding Tackle,0.10,WB
Crossing,0.10,WB
Short Pass,0.10,WB
Ball Control,0.10,WB
Interceptions,0.10,WB
Marking,0.09,WB
Stamina,0.08,WB
Reactions,0.08,WB
Dribbling,0.07,WB
Sprint Speed,0.04,WB
Agility,0.03,WB
Short Pass,0.13,DM
Interceptions,0.13,DM
Long Pass,0.11,DM
Marking,0.10,DM
Standing Tackle,0.10,DM
Ball Control,0.09,DM
Reactions,0.09,DM
Vision,0.08,DM
Stamina,0.06,DM
Strength,0.06,DM
Aggression,0.05,DM
Short Pass,0.15,CM
Long Pass,0.13,CM
Vision,0.12,CM
Ball Control,0.10,CM
Dribbling,0.09,CM
Reactions,0.08,CM
Interceptions,0.08,CM
Attack Positioning,0.08,CM
Standing Tackle,0.06,CM
Stamina,0.06,CM
Long Shots,0.05,CM
Crossing,0.14,WM
Dribbling,0.14,WM
Short Pass,0.12,WM
Ball Control,0.12,WM
Long Pass,0.08,WM
Vision,0.08,WM
Reactions,0.07,WM
Attack Positioning,0.07,WM
Stamina,0.05,WM
Acceleration,0.05,WM
Sprint Speed,0.05,WM
Agility,0.03,WM
Short Pass,0.16,AM
Vision,0.16,AM
Ball Control,0.13,AM
Attack Positioning,0.12,AM
Dribbling,0.11,AM
Reactions,0.08,AM
Long Shots,0.06,AM
Finishing,0.05,AM
Shot Power,0.05,AM
Acceleration,0.04,AM
Agility,0.04,AM
Crossing,0.16,WF
Dribbling,0.16,WF
Ball Control,0.13,WF
Short Pass,0.10,WF
Attack Positioning,0.09,WF
Acceleration,0.06,WF
Sprint Speed,0.06,WF
Reactions,0.06,WF
Agility,0.05,WF
Vision,0.05,WF
Finishing,0.04,WF
Long Shots,0.04,WF
Finishing,0.12,SS
Attack Positioning,0.12,SS
Dribbling,0.11,SS
Ball Control,0.11,SS
Shot Power,0.10,SS
Long Shots,0.10,SS
Reactions,0.10,SS
Short Pass,0.06,SS
Heading,0.05,SS
Vision,0.05,SS
Acceleration,0.04,SS
Sprint Speed,0.04,SS
Finishing,0.20,ST
Attack Positioning,0.12,ST
Heading,0.10,ST
Shot Power,0.10,ST
Reactions,0.10,ST
Dribbling,0.08,ST
Ball Control,0.08,ST
Volleys,0.05,ST
Long Shots,0.05,ST
Acceleration,0.05,ST
Sprint Speed,0.04,ST
Strength,0.03,ST
